Batch Id,mlp_up_proj,mlp_activation,mlp_down_proj,mlp_down_proj_all_reduce,attn_pre_proj,attn_post_proj,attn_post_proj_all_reduce,attn_prefill,attn_kv_cache_save,attn_decode,attn_rope,pipeline_send_recv,add,input_layernorm,post_attention_layernorm,schedule,sample_e2e,prepare_inputs_e2e,model_execution_e2e,process_model_outputs,ray_comm_time,replica
83,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
85,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
88,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
92,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
94,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
97,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
101,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
103,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
107,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
111,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
115,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
119,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
122,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
126,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
130,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
133,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
137,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
141,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
144,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
